# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.535971e-11	3.507859e+02	4.762269e-07	2.380581e-07	2.381688e-07
0.01          	-1.097325e-07	1.799382e+01	-9.403324e-07	-5.798987e-07	-3.604337e-07
0.015         	-8.658054e-08	1.858751e+01	3.205775e-07	7.370822e-08	2.468693e-07
0.02          	-1.009025e-07	1.540352e+01	7.397760e-07	2.689855e-07	4.707905e-07
0.025         	-1.047891e-07	1.336354e+01	6.884790e-07	2.394504e-07	4.490286e-07
0.03          	-1.038365e-07	1.186761e+01	6.628523e-07	2.275897e-07	4.352626e-07
0.035         	-1.001751e-07	1.074849e+01	6.050994e-07	2.023746e-07	4.027248e-07
0.04          	-9.522328e-08	9.889236e+00	5.595910e-07	1.845722e-07	3.750188e-07
0.045         	-1.394550e-08	9.212262e+00	6.656619e-07	3.188854e-07	3.467764e-07
0.05          	3.939291e-08	8.665838e+00	6.847332e-07	3.817595e-07	3.029737e-07
0.055         	7.417068e-08	8.214951e+00	6.828842e-07	4.156128e-07	2.672714e-07
0.06          	9.646218e-08	7.835662e+00	6.816275e-07	4.372760e-07	2.443516e-07
0.065         	1.102726e-07	7.511261e+00	6.781246e-07	4.493349e-07	2.287898e-07
0.07          	1.182747e-07	7.229842e+00	6.706416e-07	4.535955e-07	2.170460e-07
0.075         	1.222773e-07	6.982735e+00	6.516810e-07	4.481178e-07	2.035632e-07
0.08          	1.235237e-07	6.763446e+00	6.508093e-07	4.489284e-07	2.018809e-07
0.085         	1.228576e-07	6.567135e+00	6.429343e-07	4.443247e-07	1.986095e-07
0.09          	1.208784e-07	6.390027e+00	6.363563e-07	4.390566e-07	1.972997e-07
0.095         	1.180074e-07	6.229214e+00	6.203627e-07	4.281888e-07	1.921739e-07
0.1           	1.145497e-07	6.082362e+00	6.032661e-07	4.161828e-07	1.870834e-07
0.105         	1.107247e-07	5.947517e+00	6.022341e-07	4.118418e-07	1.903923e-07
0.11          	1.066774e-07	5.823169e+00	5.908192e-07	4.020870e-07	1.887322e-07
0.115         	1.025198e-07	5.708020e+00	5.844502e-07	3.947449e-07	1.897053e-07
0.12          	9.833116e-08	5.601030e+00	5.747976e-07	3.857299e-07	1.890676e-07
0.125         	9.416927e-08	5.501336e+00	5.615661e-07	3.749523e-07	1.866138e-07
0.13          	9.007828e-08	5.408124e+00	5.529337e-07	3.665451e-07	1.863886e-07
0.135         	8.608356e-08	5.320717e+00	5.307993e-07	3.514832e-07	1.793161e-07
0.14          	8.220154e-08	5.238572e+00	5.279830e-07	3.461930e-07	1.817900e-07
0.145         	7.844410e-08	5.161214e+00	5.202431e-07	3.385657e-07	1.816775e-07
0.15          	7.481973e-08	5.088186e+00	4.894745e-07	3.195570e-07	1.699175e-07
