# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	3.103109e-09	3.567094e+02	-3.507782e-06	-1.750788e-06	-1.756994e-06
0.01          	-6.201874e-07	1.601835e+01	5.764285e-06	2.261955e-06	3.502330e-06
0.015         	-1.867640e-07	1.870794e+01	-2.691925e-06	-1.532726e-06	-1.159198e-06
0.02          	4.474205e-08	1.497797e+01	-8.968996e-07	-4.037077e-07	-4.931918e-07
0.025         	2.882671e-07	1.295664e+01	-2.328187e-07	1.718577e-07	-4.046764e-07
0.03          	4.718549e-07	1.152623e+01	1.197685e-08	4.778433e-07	-4.658664e-07
0.035         	6.127382e-07	1.047888e+01	2.553609e-07	7.404187e-07	-4.850577e-07
0.04          	7.214986e-07	9.679879e+00	4.567867e-07	9.498920e-07	-4.931053e-07
0.045         	8.053814e-07	9.049721e+00	6.146954e-07	1.112729e-06	-4.980337e-07
0.05          	8.695202e-07	8.538473e+00	7.500476e-07	1.244544e-06	-4.944964e-07
0.055         	1.097279e-06	8.113815e+00	2.759237e-08	1.111075e-06	-1.083482e-06
0.06          	1.264223e-06	7.754154e+00	3.441734e-07	1.436310e-06	-1.092136e-06
0.065         	1.387273e-06	7.444503e+00	5.847590e-07	1.679652e-06	-1.094893e-06
0.07          	1.477563e-06	7.174306e+00	7.797670e-07	1.867446e-06	-1.087679e-06
0.075         	1.542746e-06	6.935837e+00	9.386223e-07	2.012057e-06	-1.073435e-06
0.08          	1.588326e-06	6.723360e+00	1.082717e-06	2.129684e-06	-1.046967e-06
0.085         	1.618409e-06	6.532449e+00	1.181644e-06	2.209231e-06	-1.027587e-06
0.09          	1.636157e-06	6.359713e+00	1.275688e-06	2.274001e-06	-9.983132e-07
0.095         	1.644036e-06	6.202453e+00	1.342175e-06	2.315124e-06	-9.729486e-07
0.1           	1.644013e-06	6.058524e+00	1.360424e-06	2.324225e-06	-9.638006e-07
0.105         	1.700070e-06	5.926150e+00	1.600020e-06	2.500080e-06	-9.000604e-07
0.11          	1.735823e-06	5.803896e+00	1.734108e-06	2.602877e-06	-8.687686e-07
0.115         	1.756538e-06	5.690558e+00	1.859415e-06	2.686245e-06	-8.268298e-07
