# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.652934e+01 9.876533e-08 2.626161e-20) (3.668513e-01 6.045580e-10 2.540835e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.335979e-20 -1.163561e-19 5.759932e-15) (1.627676e-20 3.378588e-20 -1.760723e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-6.781890e-02 -1.149536e-07 -5.999662e-23) (2.552393e-01 4.428983e-10 -3.560633e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.113962e-22 2.503013e-22 1.113932e-15) (-4.895619e-23 -3.239779e-21 -4.717529e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.177901e-01 9.974562e-08 1.551063e-21) (1.952712e-01 8.918582e-10 5.958537e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.310495e-22 -2.540166e-21 -7.136621e-16) (2.403902e-22 -1.843855e-21 -7.147520e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.700739e-01 7.981578e-08 1.265171e-21) (1.592627e-01 2.138915e-09 4.285712e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.276095e-22 -2.003937e-21 4.849446e-16) (1.790962e-22 -1.515103e-21 -2.031589e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.485974e-01 8.828926e-08 1.098909e-21) (1.357140e-01 2.785900e-09 3.350391e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.054431e-22 -1.740684e-21 6.910857e-17) (1.531397e-22 -1.282650e-21 -2.237128e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.312160e-01 8.649512e-08 9.864087e-22) (1.194811e-01 3.138980e-09 2.717375e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.199998e-22 -1.546582e-21 4.643377e-16) (1.331945e-22 -1.128245e-21 -1.996306e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.177589e-01 9.915353e-08 9.100376e-22) (1.077620e-01 3.468179e-09 2.290545e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.579943e-22 -1.404784e-21 5.189806e-16) (1.180206e-22 -1.018765e-21 -1.522213e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.072810e-01 1.016420e-07 8.562234e-22) (9.893619e-02 3.748751e-09 1.993707e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.112781e-22 -1.298680e-21 6.462487e-16) (1.062902e-22 -9.370005e-22 -9.525937e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((9.902584e-02 1.042641e-07 8.168852e-22) (9.203737e-02 4.001540e-09 1.781064e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.751049e-22 -1.217433e-21 6.862108e-16) (9.708721e-23 -8.731633e-22 -3.689947e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.241917e-02 1.058760e-07 7.871510e-22) (8.647139e-02 4.218729e-09 1.624491e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.464805e-22 -1.153759e-21 7.175230e-16) (8.975488e-23 -8.214990e-22 1.825306e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
