# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.01          	((8.386328e+00 -9.851442e-08 4.644200e-21) (2.749580e-01 -4.215217e-10 4.228899e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.967209e-19 -3.915376e-19 6.407255e-15) (5.443237e-21 -4.046587e-21 2.105932e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-3.693369e-02 1.909733e-07 -1.437795e-22) (1.812076e-01 -4.771600e-09 -1.541683e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.533962e-21 1.464769e-21 -2.909311e-15) (1.767050e-21 -5.357776e-21 -4.456473e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.668943e-01 -3.714507e-08 4.049013e-22) (1.367789e-01 -8.383020e-10 1.973797e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.415926e-20 -7.584140e-21 -6.618317e-16) (1.203050e-21 -3.855048e-21 -1.161103e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.141718e-01 4.255193e-08 3.430834e-22) (1.108561e-01 3.923191e-09 1.842396e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.509181e-21 -5.292451e-21 -1.092677e-14) (1.012907e-21 -3.076425e-21 1.389970e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.867354e-02 3.423653e-08 3.041999e-22) (9.454074e-02 7.548060e-09 1.748070e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.150912e-21 -4.613061e-21 -1.807392e-14) (9.437925e-22 -2.595202e-21 3.742392e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.780944e-02 4.996278e-08 2.747825e-22) (8.356548e-02 1.270832e-08 1.636506e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.210393e-21 -4.129444e-21 -2.002622e-14) (9.101747e-22 -2.279574e-21 9.326972e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.009790e-02 5.036803e-08 2.549872e-22) (7.572952e-02 1.684534e-08 1.539157e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.546013e-21 -3.784109e-21 -2.750241e-14) (8.881650e-22 -2.058543e-21 1.306690e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.417938e-02 5.680234e-08 2.415286e-22) (6.983664e-02 1.977751e-08 1.455612e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.035301e-21 -3.519706e-21 -3.239678e-14) (8.707923e-22 -1.894546e-21 1.556739e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.952711e-02 6.056932e-08 2.318865e-22) (6.521296e-02 2.182455e-08 1.381907e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.632538e-21 -3.312837e-21 -3.591711e-14) (8.561959e-22 -1.766973e-21 1.722526e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.581853e-02 6.264789e-08 2.245084e-22) (6.146079e-02 2.320984e-08 1.314743e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.310356e-21 -3.148798e-21 -3.841431e-14) (8.436375e-22 -1.663973e-21 1.830173e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.281871e-02 6.406344e-08 2.185264e-22) (5.833444e-02 2.411524e-08 1.252210e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.048501e-21 -3.016973e-21 -4.012476e-14) (8.325684e-22 -1.578381e-21 1.897152e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.035344e-02 6.545179e-08 2.134509e-22) (5.567502e-02 2.467054e-08 1.193268e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.831935e-21 -2.909565e-21 -4.116773e-14) (8.226030e-22 -1.505653e-21 1.935364e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((5.829739e-02 6.663337e-08 2.089952e-22) (5.337531e-02 2.496907e-08 1.137306e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.649883e-21 -2.820954e-21 -4.182752e-14) (8.134945e-22 -1.442772e-21 1.953161e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((5.656120e-02 6.743549e-08 2.049815e-22) (5.136010e-02 2.507931e-08 1.083908e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.494733e-21 -2.747086e-21 -4.218915e-14) (8.050751e-22 -1.387668e-21 1.956404e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((5.508045e-02 6.859619e-08 2.012995e-22) (4.957484e-02 2.505905e-08 1.032789e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.361063e-21 -2.685015e-21 -4.231908e-14) (7.972214e-22 -1.338818e-21 1.949283e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((5.380733e-02 6.935099e-08 1.978733e-22) (4.797880e-02 2.494076e-08 9.837163e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.244833e-21 -2.632565e-21 -4.224862e-14) (7.898415e-22 -1.295112e-21 1.934846e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((5.270534e-02 6.947103e-08 1.946515e-22) (4.654082e-02 2.475177e-08 9.365106e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.142856e-21 -2.588047e-21 -4.203145e-14) (7.828697e-22 -1.255697e-21 1.915271e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((5.174722e-02 7.020748e-08 1.915995e-22) (4.523660e-02 2.451589e-08 8.910293e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.052928e-21 -2.550208e-21 -4.161299e-14) (7.762262e-22 -1.219907e-21 1.892182e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((5.091076e-02 7.130743e-08 1.886865e-22) (4.404681e-02 2.424769e-08 8.471345e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.973091e-21 -2.518028e-21 -4.106096e-14) (7.698713e-22 -1.187215e-21 1.866702e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((5.017944e-02 7.205878e-08 1.858954e-22) (4.295584e-02 2.396094e-08 8.047211e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.902052e-21 -2.490726e-21 -4.044408e-14) (7.637650e-22 -1.157199e-21 1.839632e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21          	((4.953837e-02 7.115954e-08 1.832056e-22) (4.195097e-02 2.365125e-08 7.636811e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.838569e-21 -2.467634e-21 -3.976893e-14) (7.578685e-22 -1.129506e-21 1.811626e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22          	((4.897720e-02 7.132444e-08 1.806072e-22) (4.102164e-02 2.333557e-08 7.239278e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.781773e-21 -2.448242e-21 -3.904689e-14) (7.521725e-22 -1.103856e-21 1.783120e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23          	((4.848538e-02 7.136334e-08 1.780862e-22) (4.015907e-02 2.301827e-08 6.853749e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.730777e-21 -2.432091e-21 -3.825268e-14) (7.466374e-22 -1.080000e-21 1.754434e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24          	((4.805608e-02 7.132055e-08 1.756370e-22) (3.935582e-02 2.270118e-08 6.479537e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.685048e-21 -2.418821e-21 -3.741341e-14) (7.412560e-22 -1.057745e-21 1.725796e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
