# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.01          	((8.237598e+00 -1.738712e-07 7.197063e-22) (2.723408e-01 -8.351317e-10 2.345987e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.841925e-19 -3.843813e-19 -1.812111e-15) (1.033736e-20 -3.979925e-21 3.356696e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-5.123884e-02 1.451535e-07 4.731161e-23) (1.797308e-01 -5.302239e-09 -6.774480e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.858817e-21 2.028577e-21 8.857678e-15) (1.433174e-21 -5.323947e-21 -4.573495e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.651985e-01 6.391407e-08 3.045508e-22) (1.355022e-01 3.270992e-09 1.488125e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.398144e-20 -7.522018e-21 -1.257483e-14) (1.307140e-21 -3.817111e-21 9.963509e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.130979e-01 5.689344e-08 2.769071e-22) (1.098084e-01 7.517355e-09 1.516795e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.412328e-21 -5.242884e-21 -1.448515e-14) (1.079002e-21 -3.046155e-21 5.097686e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.908699e-02 5.604472e-08 2.531598e-22) (9.364777e-02 1.223684e-08 1.494018e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.196957e-21 -4.621670e-21 -2.307664e-14) (9.950172e-22 -2.569292e-21 8.914079e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.829155e-02 6.161783e-08 2.348157e-22) (8.278234e-02 1.582653e-08 1.434860e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.262082e-21 -4.142129e-21 -2.869215e-14) (9.464065e-22 -2.256911e-21 1.175600e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.026758e-02 6.937218e-08 2.220275e-22) (7.502388e-02 1.852098e-08 1.371570e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.567768e-21 -3.785305e-21 -3.301121e-14) (9.141450e-22 -2.038234e-21 1.382287e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.401937e-02 7.115138e-08 2.129887e-22) (6.918662e-02 2.047017e-08 1.309891e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.026651e-21 -3.507791e-21 -3.635532e-14) (8.901698e-22 -1.875968e-21 1.529126e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.909806e-02 7.349551e-08 2.062732e-22) (6.460390e-02 2.182995e-08 1.250779e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.599608e-21 -3.289825e-21 -3.858971e-14) (8.711007e-22 -1.749682e-21 1.630946e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.517380e-02 7.643989e-08 2.009911e-22) (6.088278e-02 2.276370e-08 1.194169e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.258055e-21 -3.116798e-21 -4.025745e-14) (8.552462e-22 -1.647656e-21 1.698899e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
