# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.01          	((8.405537e+00 -2.603142e-08 4.542665e-21) (2.749520e-01 -2.563475e-11 4.179389e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.982275e-19 -3.924890e-19 -3.276886e-15) (5.529998e-21 -4.030006e-21 9.242839e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-5.088966e-02 1.863912e-09 -8.020172e-23) (1.812869e-01 -5.324697e-09 -1.201514e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.604704e-21 2.170977e-21 2.385988e-15) (1.724570e-21 -5.372273e-21 -4.534331e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.646263e-01 2.070002e-08 4.327070e-22) (1.368018e-01 -6.618387e-10 2.110944e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.397483e-20 -7.476894e-21 -1.788670e-15) (1.168635e-21 -3.857499e-21 -1.048922e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.130881e-01 3.235312e-08 3.534279e-22) (1.108681e-01 4.026043e-09 1.892683e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.418744e-21 -5.242612e-21 -1.106034e-14) (9.988526e-22 -3.077465e-21 1.493891e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.830339e-02 5.396986e-08 3.076613e-22) (9.454645e-02 1.003571e-08 1.765933e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.122533e-21 -4.594359e-21 -1.578539e-14) (9.403308e-22 -2.595634e-21 7.412758e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.761217e-02 5.467070e-08 2.758336e-22) (8.356783e-02 1.477528e-08 1.642919e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.196878e-21 -4.118324e-21 -2.436764e-14) (9.103033e-22 -2.279820e-21 1.152104e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((7.993928e-02 5.840432e-08 2.554514e-22) (7.572990e-02 1.819718e-08 1.542471e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.535143e-21 -3.775123e-21 -2.993622e-14) (8.888560e-22 -2.058707e-21 1.436052e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.403604e-02 6.224371e-08 2.418966e-22) (6.983590e-02 2.063727e-08 1.458129e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.025056e-21 -3.511856e-21 -3.410290e-14) (8.712877e-22 -1.894664e-21 1.629893e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.940605e-02 6.494550e-08 2.321742e-22) (6.521166e-02 2.233110e-08 1.383798e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.623715e-21 -3.306313e-21 -3.711802e-14) (8.565613e-22 -1.767057e-21 1.759830e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.572348e-02 6.749849e-08 2.246743e-22) (6.145930e-02 2.347548e-08 1.315902e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.303422e-21 -3.143673e-21 -3.925931e-14) (8.440030e-22 -1.664030e-21 1.844054e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.274683e-02 6.948780e-08 2.185798e-22) (5.833298e-02 2.421620e-08 1.252731e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.043293e-21 -3.013067e-21 -4.070510e-14) (8.329622e-22 -1.578419e-21 1.895402e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.029958e-02 7.125575e-08 2.134275e-22) (5.567369e-02 2.465797e-08 1.193352e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.828066e-21 -2.906611e-21 -4.163059e-14) (8.230015e-22 -1.505677e-21 1.923050e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((5.825689e-02 7.219884e-08 2.089293e-22) (5.337415e-02 2.487670e-08 1.137137e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.646999e-21 -2.818713e-21 -4.231406e-14) (8.138713e-22 -1.442787e-21 1.933570e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((5.653052e-02 7.272078e-08 2.048970e-22) (5.135911e-02 2.493360e-08 1.083614e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.492570e-21 -2.745374e-21 -4.257509e-14) (8.054139e-22 -1.387677e-21 1.931788e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((5.505705e-02 7.339842e-08 2.012108e-22) (4.957401e-02 2.487253e-08 1.032449e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.359429e-21 -2.683700e-21 -4.261778e-14) (7.975151e-22 -1.338823e-21 1.921233e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((5.378936e-02 7.382447e-08 1.977886e-22) (4.797812e-02 2.472682e-08 9.833761e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.243590e-21 -2.631551e-21 -4.246555e-14) (7.900886e-22 -1.295115e-21 1.904480e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((5.269150e-02 7.462383e-08 1.945748e-22) (4.654028e-02 2.452154e-08 9.361951e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.141906e-21 -2.587263e-21 -4.215313e-14) (7.830719e-22 -1.255697e-21 1.883384e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((5.173656e-02 7.524203e-08 1.915323e-22) (4.523617e-02 2.427556e-08 8.907493e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.052202e-21 -2.549605e-21 -4.169867e-14) (7.763870e-22 -1.219906e-21 1.859327e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((5.090261e-02 7.556844e-08 1.886293e-22) (4.404647e-02 2.400288e-08 8.468931e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.972539e-21 -2.517569e-21 -4.119546e-14) (7.699952e-22 -1.187213e-21 1.833302e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((5.017329e-02 7.563060e-08 1.858476e-22) (4.295560e-02 2.370883e-08 8.045178e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.901637e-21 -2.490383e-21 -4.062492e-14) (7.638566e-22 -1.157195e-21 1.806037e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21          	((4.953385e-02 7.577064e-08 1.831662e-22) (4.195080e-02 2.340460e-08 7.635133e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.838265e-21 -2.467386e-21 -3.992769e-14) (7.579318e-22 -1.129502e-21 1.778054e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22          	((4.897401e-02 7.578308e-08 1.805753e-22) (4.102154e-02 2.309443e-08 7.237917e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.781558e-21 -2.448072e-21 -3.917592e-14) (7.522114e-22 -1.103851e-21 1.749728e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23          	((4.848329e-02 7.583626e-08 1.780607e-22) (4.015904e-02 2.278281e-08 6.852666e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.730635e-21 -2.431987e-21 -3.837380e-14) (7.466553e-22 -1.079995e-21 1.721338e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24          	((4.805492e-02 7.597640e-08 1.756170e-22) (3.935584e-02 2.247211e-08 6.478695e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.684966e-21 -2.418773e-21 -3.753396e-14) (7.412559e-22 -1.057739e-21 1.693075e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((4.768108e-02 7.595665e-08 1.732329e-22) (3.860566e-02 2.216441e-08 6.115249e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.643851e-21 -2.408109e-21 -3.665234e-14) (7.359833e-22 -1.036901e-21 1.665087e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
